id,nombre,marca,ml,tamano,descripcion,imagen,precio,precio_anterior,descuento_pct,badge,badge_texto,estrellas,resenas,tipo,categoria,activo
1,Sauvage,Dior,100,100ml EDP,"Fresco, amaderado y especiado. Un clásico moderno.",https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=500&q=80&auto=format&fit=crop,89999,114999,22,best,Más vendido,5,214,original,Hombre,TRUE
2,Bleu de Chanel,Chanel,100,100ml EDP,"Elegante, limpio y sofisticado.",https://images.unsplash.com/photo-1595425959729-514b5e3ce7c7?w=500&q=80&auto=format&fit=crop,124999,,,new,Nuevo,5,98,original,Hombre,TRUE
3,One Million,Paco Rabanne,100,100ml EDT,"Dulce, cuero dorado e irresistible.",https://images.unsplash.com/photo-1523293182086-7651a899d37f?w=500&q=80&auto=format&fit=crop,72999,89999,19,hot,Hot,5,312,original,Dulce,TRUE
4,Invictus,Paco Rabanne,100,100ml EDT,Fresco marino y amaderado.,https://images.unsplash.com/photo-1541643600914-78b084683702?w=500&q=80&auto=format&fit=crop,68999,79999,14,,,4,187,original,Fresco,TRUE
5,Acqua di Giò,Giorgio Armani,100,100ml EDP,"Marino, fresco y mediterráneo.",https://images.unsplash.com/photo-1588405748880-12d1d2a59d37?w=500&q=80&auto=format&fit=crop,79999,94999,16,best,Más vendido,5,276,original,Fresco,TRUE
6,Good Girl,Carolina Herrera,80,80ml EDP,"Floral, caramelo y sensual.",https://images.unsplash.com/photo-1563170351-be82bc888aa4?w=500&q=80&auto=format&fit=crop,84999,99999,15,hot,Hot,5,341,original,Mujer,TRUE
7,Libre,YSL,90,90ml EDP,"Lavanda, vainilla y bergamota.",https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=500&q=80&auto=format&fit=crop,94999,,,new,Nuevo,5,128,original,Mujer,TRUE
8,212 NYC,Carolina Herrera,100,100ml EDT,Fresco floral y contemporáneo.,https://images.unsplash.com/photo-1541643600914-78b084683702?w=500&q=80&auto=format&fit=crop,64999,74999,13,,,4,156,original,Unisex,TRUE
9,Baccarat Rouge 540,MFK,70,70ml EDP,"Jazmín, azafrán y cedro amaderado.",https://images.unsplash.com/photo-1595425959729-514b5e3ce7c7?w=500&q=80&auto=format&fit=crop,189999,214999,12,best,Premium,5,89,original,Nicho,TRUE
10,Erba Pura,Sospiro,100,100ml EDP,Cítrico mediterráneo y amberizado.,https://images.unsplash.com/photo-1588405748880-12d1d2a59d37?w=500&q=80&auto=format&fit=crop,169999,,,dec,Nicho,5,62,original,Nicho,TRUE
11,Le Male,Jean Paul Gaultier,125,125ml EDT,"Lavanda, menta y vainilla oriental.",https://images.unsplash.com/photo-1523293182086-7651a899d37f?w=500&q=80&auto=format&fit=crop,74999,84999,12,,,4,203,original,Dulce,TRUE
12,Stronger With You,Emporio Armani,100,100ml EDP,"Dulce, especiado y amaderado.",https://images.unsplash.com/photo-1563170351-be82bc888aa4?w=500&q=80&auto=format&fit=crop,69999,79999,13,hot,Hot,5,167,original,Intenso,TRUE
20,Black Opium,YSL,90,90ml EDP,Oriental floral oscura y adictiva.,https://images.unsplash.com/photo-1541643600914-78b084683702?w=500&q=80&auto=format&fit=crop,88999,104999,15,best,Top ventas,5,198,original,Mujer,TRUE
21,Chanel No.5,Chanel,100,100ml EDP,El perfume más icónico del mundo.,https://images.unsplash.com/photo-1595425959729-514b5e3ce7c7?w=500&q=80&auto=format&fit=crop,149999,,,best,Clásico,5,312,original,Premium,TRUE
22,Oud Wood,Tom Ford,50,50ml EDP,"Madera de oud, sándalo y vainilla.",https://images.unsplash.com/photo-1588405748880-12d1d2a59d37?w=500&q=80&auto=format&fit=crop,219999,249999,12,new,Premium,5,54,original,Premium,TRUE
23,Light Blue,Dolce & Gabbana,100,100ml EDT,"Fresco, cítrico y veraniego.",https://images.unsplash.com/photo-1615634260167-c8cdede054de?w=500&q=80&auto=format&fit=crop,67999,79999,15,,,4,231,original,Fresco,TRUE
24,Flowerbomb,Viktor & Rolf,100,100ml EDP,Explosión floral dulce e intensa.,https://images.unsplash.com/photo-1563170351-be82bc888aa4?w=500&q=80&auto=format&fit=crop,94999,109999,14,hot,Hot,5,176,original,Mujer,TRUE
25,Fahrenheit,Dior,100,100ml EDT,"Cuero, violeta y madera única.",https://images.unsplash.com/photo-1523293182086-7651a899d37f?w=500&q=80&auto=format&fit=crop,84999,,,,,4,143,original,Intenso,TRUE
26,Hypnotic Poison,Dior,100,100ml EDT,"Almendras, jazmín y vainilla.",https://images.unsplash.com/photo-1541643600914-78b084683702?w=500&q=80&auto=format&fit=crop,79999,92999,14,best,Favorito,5,189,original,Dulce,TRUE
27,CK One,Calvin Klein,200,200ml EDT,Fresco unisex cítrico y verde.,https://images.unsplash.com/photo-1595425959729-514b5e3ce7c7?w=500&q=80&auto=format&fit=crop,49999,59999,17,,,4,267,original,Unisex,TRUE
